model,dataset,family,delta_activation_similarity,delta_bleu,delta_bertscore_response,delta_log_prob,entropy_shift,delta_mirroring_rate
gemini-2.5-flash,Alpaca,InterVsImper,,0.01831632010258953,0.030852651585739157,,,
gemini-2.5-flash,SimpleQA Verified,Politeness,,0.06305272771333631,0.05310218411512725,,,
gemini-2.5-flash,SimpleQA Verified,Punctuation,,0.07801668273236932,0.04393226655733391,,,0.0
gemini-2.5-flash,SimpleQA Verified,Spacing,,0.0746103399331667,0.04327324811318356,,,0.0
gemini-2.5-flash,SimpleQA Verified,LetterCase,,0.050865128827455294,0.05117930246088315,,,0.0
gemini-2.5-flash,SimpleQA Verified,Length,,0.06468195698941423,0.04872970563828612,,,
gemini-2.5-flash,SimpleQA Verified,InterVsImper,,0.02635613969809402,0.03291153140971387,,,
claude-sonnet-4-6,TruthfulQA,Politeness,,0.11409433913194933,0.029806504027359182,,,
claude-sonnet-4-6,TruthfulQA,Punctuation,,0.10115176615590116,0.026883168619129122,,,0.0
claude-sonnet-4-6,TruthfulQA,Spacing,,0.11286728956301818,0.19552995015133587,,,0.0
claude-sonnet-4-6,TruthfulQA,LetterCase,,0.10469039982119167,0.02678927251248327,,,0.0
claude-sonnet-4-6,TruthfulQA,Length,,0.13146577763354816,0.036885655582654664,,,
claude-sonnet-4-6,TruthfulQA,InterVsImper,,0.0933796190997358,0.024645012831507197,,,
claude-sonnet-4-6,Alpaca,Politeness,,0.1311765749231316,0.05081314144448128,,,
claude-sonnet-4-6,Alpaca,Punctuation,,0.12549864994031362,0.03130756181542847,,,0.0
claude-sonnet-4-6,Alpaca,Spacing,,0.12521854233762958,0.047771928557738146,,,0.0
claude-sonnet-4-6,Alpaca,LetterCase,,0.1352099150737297,0.032882853597405226,,,0.038273277230987154
claude-sonnet-4-6,Alpaca,Length,,0.17015363498853237,0.0675908197226558,,,
claude-sonnet-4-6,Alpaca,InterVsImper,,0.09663646158205878,0.036630194836237404,,,
claude-sonnet-4-6,SimpleQA Verified,Politeness,,0.13147724974104197,0.031049913527305066,,,
claude-sonnet-4-6,SimpleQA Verified,Punctuation,,0.12453579017477404,0.0252461926262819,,,0.0
claude-sonnet-4-6,SimpleQA Verified,Spacing,,0.10723527214182721,0.04207247569049097,,,0.0
claude-sonnet-4-6,SimpleQA Verified,LetterCase,,0.10539560581783047,0.021042114896894677,,,0.0
claude-sonnet-4-6,SimpleQA Verified,Length,,0.14679778980179103,0.03726644651765254,,,
claude-sonnet-4-6,SimpleQA Verified,InterVsImper,,0.07101191208966111,0.01270506939308226,,,
